,date,price,upanddown,check
217,2005-03-25,3.26,+ 0.93,
218,2005-03-26,3.26,+ 0.93,
219,2005-03-27,3.26,+ 0.93,
220,2005-03-28,3.25,-0.31,
221,2005-03-29,3.24,-0.31,
222,2005-03-30,3.25,+ 0.31,
223,2005-03-31,3.26,+ 0.31,
224,2005-04-01,3.25,-0.31,
225,2005-04-02,3.25,-0.31,
226,2005-04-03,3.25,-0.31,
227,2005-04-04,3.24,-0.31,
228,2005-04-05,3.24,-0.31,
229,2005-04-06,3.23,-0.31,
230,2005-04-07,3.23,0.00,
231,2005-04-08,3.26,+ 0.93,
232,2005-04-09,3.26,+ 0.93,
233,2005-04-10,3.26,+ 0.93,
234,2005-04-11,3.25,-0.31,
235,2005-04-12,3.24,-0.31,
236,2005-04-13,3.25,+ 0.31,
237,2005-04-14,3.25,0.00,
238,2005-04-15,3.26,+ 0.31,
239,2005-04-16,3.26,+ 0.31,
240,2005-04-17,3.26,+ 0.31,
241,2005-04-18,3.25,-0.31,
242,2005-04-19,3.26,+ 0.31,
243,2005-04-20,3.26,0.00,
244,2005-04-21,3.23,-0.92,
245,2005-04-22,3.24,+ 0.31,
246,2005-04-23,3.24,+ 0.31,
247,2005-04-24,3.24,+ 0.31,
248,2005-04-25,3.26,+ 0.62,
249,2005-04-26,3.26,0.00,
250,2005-04-27,3.27,+ 0.31,
251,2005-04-28,3.27,0.00,
252,2005-04-29,3.29,+ 0.61,
253,2005-04-30,3.29,+ 0.61,
254,2005-05-01,3.29,+ 0.61,
255,2005-05-02,3.29,0.00,
256,2005-05-03,3.30,+ 0.30,
257,2005-05-04,3.21,-2.73,
258,2005-05-05,3.21,-2.73,
259,2005-05-06,3.27,+ 1.87,
260,2005-05-07,3.27,+ 1.87,
261,2005-05-08,3.27,+ 1.87,
262,2005-05-09,3.29,+ 0.61,
263,2005-05-10,3.30,+ 0.30,
264,2005-05-11,3.30,0.00,
265,2005-05-12,3.30,0.00,
266,2005-05-13,3.29,-0.30,
267,2005-05-14,3.29,-0.30,
268,2005-05-15,3.29,-0.30,
269,2005-05-16,3.29,0.00,
270,2005-05-17,3.29,0.00,
271,2005-05-18,3.29,0.00,
272,2005-05-19,3.19,-3.04,
273,2005-05-20,3.23,+ 1.25,
274,2005-05-21,3.23,+ 1.25,
275,2005-05-22,3.23,+ 1.25,
276,2005-05-23,3.29,+ 1.86,
277,2005-05-24,3.29,0.00,
278,2005-05-25,3.29,0.00,
279,2005-05-26,3.29,0.00,
280,2005-05-27,3.29,0.00,
281,2005-05-28,3.29,0.00,
282,2005-05-29,3.29,0.00,
283,2005-05-30,3.29,0.00,
284,2005-05-31,3.29,0.00,
285,2005-06-01,3.28,-0.30,
286,2005-06-02,3.28,0.00,
287,2005-06-03,3.21,-2.13,
288,2005-06-04,3.21,-2.13,
289,2005-06-05,3.21,-2.13,
290,2005-06-06,3.21,-2.13,
291,2005-06-07,3.20,-0.31,
292,2005-06-08,3.28,+ 2.50,
293,2005-06-09,3.28,0.00,
294,2005-06-10,3.29,+ 0.30,
295,2005-06-11,3.29,+ 0.30,
296,2005-06-12,3.29,+ 0.30,
297,2005-06-13,3.28,-0.30,
298,2005-06-14,3.29,+ 0.30,
299,2005-06-15,3.28,-0.30,
300,2005-06-16,3.27,-0.30,
301,2005-06-17,3.27,0.00,
302,2005-06-18,3.27,0.00,
303,2005-06-19,3.27,0.00,
304,2005-06-20,3.27,0.00,
305,2005-06-21,3.20,-2.14,
306,2005-06-22,3.21,+ 0.31,
307,2005-06-23,3.27,+ 1.87,
308,2005-06-24,3.27,0.00,
309,2005-06-25,3.27,0.00,
310,2005-06-26,3.27,0.00,
311,2005-06-27,3.27,0.00,
312,2005-06-28,3.26,-0.31,
313,2005-06-29,3.26,0.00,
314,2005-06-30,3.30,+ 1.23,
315,2005-07-01,3.26,-1.21,
316,2005-07-02,3.26,-1.21,
317,2005-07-03,3.26,-1.21,
318,2005-07-04,3.25,-0.31,
319,2005-07-05,3.23,-0.62,
320,2005-07-06,3.09,-4.33,
321,2005-07-07,3.03,-1.94,
322,2005-07-08,3.12,+ 2.97,
323,2005-07-09,3.12,+ 2.97,
324,2005-07-10,3.12,+ 2.97,
325,2005-07-11,3.21,+ 2.88,
326,2005-07-12,3.21,0.00,
327,2005-07-13,3.27,+ 1.87,
328,2005-07-14,3.27,0.00,
329,2005-07-15,3.26,-0.31,
330,2005-07-16,3.26,-0.31,
331,2005-07-17,3.26,-0.31,
332,2005-07-18,3.26,0.00,
333,2005-07-19,3.27,+ 0.31,
