,date,price
1155,2015-11-12,1.50
1156,2015-11-11,1.49
1157,2015-11-10,1.49
1158,2015-11-09,1.50
1159,2015-11-06,1.49
1160,2015-11-05,1.49
1161,2015-11-04,1.50
1162,2015-11-03,1.50
1163,2015-11-02,1.50
1164,2015-10-30,1.50
1165,2015-10-29,1.48
1166,2015-10-28,1.48
1167,2015-10-27,1.48
1168,2015-10-26,1.48
1169,2015-10-23,1.49
1170,2015-10-22,1.49
1171,2015-10-21,1.49
1172,2015-10-20,1.49
1173,2015-10-19,1.49
1174,2015-10-16,1.49
1175,2015-10-15,1.48
1176,2015-10-14,1.48
1177,2015-10-13,1.48
1178,2015-10-12,1.48
1179,2015-10-08,1.48
1180,2015-10-07,1.49
1181,2015-10-06,1.50
1182,2015-10-05,1.47
1183,2015-10-02,1.46
1184,2015-10-01,1.47
1185,2015-09-30,1.49
1186,2015-09-25,1.47
1187,2015-09-24,1.49
1188,2015-09-23,1.48
1189,2015-09-22,1.48
1190,2015-09-21,1.48
1191,2015-09-18,1.48
1192,2015-09-17,1.48
1193,2015-09-16,1.48
1194,2015-09-15,1.49
1195,2015-09-14,1.49
1196,2015-09-11,1.49
1197,2015-09-10,1.49
1198,2015-09-09,1.48
1199,2015-09-08,1.49
1200,2015-09-07,1.47
1201,2015-09-04,1.45
1202,2015-09-03,1.47
1203,2015-09-02,1.48
1204,2015-09-01,1.49
1205,2015-08-31,1.52
1206,2015-08-28,1.51
1207,2015-08-27,1.50
1208,2015-08-26,1.50
1209,2015-08-25,1.50
1210,2015-08-24,1.50
1211,2015-08-21,1.49
1212,2015-08-20,1.49
1213,2015-08-19,1.49
1214,2015-08-18,1.49
1215,2015-08-17,1.49
1216,2015-08-13,1.49
1217,2015-08-12,1.49
1218,2015-08-11,1.49
1219,2015-08-10,1.49
1220,2015-08-07,1.49
1221,2015-08-06,1.49
1222,2015-08-05,1.48
1223,2015-08-04,1.49
1224,2015-08-03,1.48
1225,2015-07-31,1.50
1226,2015-07-30,1.49
1227,2015-07-29,1.49
1228,2015-07-28,1.49
1229,2015-07-27,1.49
1230,2015-07-24,1.49
1231,2015-07-23,1.48
1232,2015-07-22,1.47
1233,2015-07-21,1.47
1234,2015-07-20,1.47
1235,2015-07-17,1.48
1236,2015-07-16,1.48
1237,2015-07-15,1.48
1238,2015-07-14,1.49
1239,2015-07-13,1.48
1240,2015-07-10,1.48
1241,2015-07-09,1.48
1242,2015-07-08,1.48
1243,2015-07-07,1.50
1244,2015-07-06,1.48
1245,2015-07-03,1.48
1246,2015-07-02,1.48
1247,2015-07-01,1.49
1248,2015-06-30,1.50
1249,2015-06-29,1.49
1250,2015-06-26,1.50
1251,2015-06-25,1.50
1252,2015-06-24,1.50
1253,2015-06-23,1.49
1254,2015-06-22,1.49
1255,2015-06-19,1.49
1256,2015-06-18,1.49
1257,2015-06-17,1.49
1258,2015-06-16,1.48
1259,2015-06-15,1.49
1260,2015-06-12,1.48
1261,2015-06-11,1.49
1262,2015-06-10,1.74
1263,2015-06-09,1.73
1264,2015-06-08,1.72
1265,2015-06-05,1.73
1266,2015-06-04,1.73
1267,2015-06-03,1.73
1268,2015-06-02,1.73
1269,2015-06-01,1.74
1270,2015-05-29,1.74
1271,2015-05-28,1.74
1272,2015-05-27,1.74
1273,2015-05-26,1.74
1274,2015-05-22,1.74
1275,2015-05-21,1.74
1276,2015-05-20,1.74
1277,2015-05-19,1.74
1278,2015-05-18,1.74
1279,2015-05-15,1.74
1280,2015-05-14,1.73
1281,2015-05-13,1.74
1282,2015-05-12,1.73
